,S.No,Local Government Area,Year,Adult_Population,Suburb Name,Postcode,2016 Median Sold Price
211,24210,Manningham,2016.0,"97,529",Wonga Park,3115,930000.0
212,24330,Maribyrnong,2016.0,"69,093",Braybrook,3019,555000.0
213,24330,Maribyrnong,2016.0,"69,093",Footscray,3011,665000.0
214,24330,Maribyrnong,2016.0,"69,093",Kingsville,3012,782000.0
215,24330,Maribyrnong,2016.0,"69,093",Maidstone,3012,620000.0
216,24330,Maribyrnong,2016.0,"69,093",Maribyrnong,3032,750000.0
217,24330,Maribyrnong,2016.0,"69,093",Seddon,3011,800000.0
218,24330,Maribyrnong,2016.0,"69,093",West Footscray,3012,660000.0
219,24330,Maribyrnong,2016.0,"69,093",Yarraville,3013,800000.0
220,24410,Maroondah,2016.0,"89,771",Bayswater North,3153,560000.0
221,24410,Maroondah,2016.0,"89,771",Croydon,3136,615000.0
222,24410,Maroondah,2016.0,"89,771",Croydon Hills,3136,710000.0
223,24410,Maroondah,2016.0,"89,771",Croydon North,3136,700000.0
224,24410,Maroondah,2016.0,"89,771",Croydon South,3136,600000.0
225,24410,Maroondah,2016.0,"89,771",Heathmont,3135,760000.0
226,24410,Maroondah,2016.0,"89,771",Kilsyth,3137,555000.0
227,24410,Maroondah,2016.0,"89,771",Kilsyth South,3137,695000.0
228,24410,Maroondah,2016.0,"89,771",Ringwood,3134,781000.0
229,24410,Maroondah,2016.0,"89,771",Ringwood East,3135,750000.0
230,24410,Maroondah,2016.0,"89,771",Warranwood,3134,835000.0
231,24600,Melbourne,2016.0,"127,232",Carlton,3053,726000.0
232,24600,Melbourne,2016.0,"127,232",Carlton North,3054,1246000.0
233,24600,Melbourne,2016.0,"127,232",Docklands,3008,1520000.0
234,24600,Melbourne,2016.0,"127,232",East Melbourne,3002,1825000.0
235,24600,Melbourne,2016.0,"127,232",Flemington,3031,815000.0
236,24600,Melbourne,2016.0,"127,232",Kensington,3031,824000.0
237,24600,Melbourne,2016.0,"127,232",Melbourne,3000,602000.0
238,24600,Melbourne,2016.0,"127,232",Melbourne West,3003,780000.0
239,24600,Melbourne,2016.0,"127,232",North Melbourne,3051,925000.0
240,24600,Melbourne,2016.0,"127,232",Parkville,3052,645000.0
241,24600,Melbourne,2016.0,"127,232",Port Melbourne,3207,1268000.0
242,24600,Melbourne,2016.0,"127,232",South Yarra,3141,1400000.0
243,24600,Melbourne,2016.0,"127,232",Southbank,3006,660000.0
244,24650,Melton,2016.0,"102,097",Brookfield,3338,350000.0
245,24650,Melton,2016.0,"102,097",Burnside,3023,430000.0
246,24650,Melton,2016.0,"102,097",Burnside Heights,3023,488000.0
247,24650,Melton,2016.0,"102,097",Caroline Springs,3023,498000.0
248,24650,Melton,2016.0,"102,097",Eynesbury,3338,416000.0
249,24650,Melton,2016.0,"102,097",Hillside,3037,488000.0
250,24650,Melton,2016.0,"102,097",Kurunjang,3337,305000.0
251,24650,Melton,2016.0,"102,097",Melton,3337,272000.0
252,24650,Melton,2016.0,"102,097",Melton South,3338,269000.0
253,24650,Melton,2016.0,"102,097",Melton West,3337,310000.0
254,24650,Melton,2016.0,"102,097",Ravenhall,3023,446000.0
255,24650,Melton,2016.0,"102,097",Rockbank,3335,341000.0
256,24650,Melton,2016.0,"102,097",Taylors Hill,3037,550000.0
257,24650,Melton,2016.0,"102,097",Truganina,3029,400000.0
258,24970,Monash,2016.0,"153,720",Ashwood,3147,1135000.0
259,24970,Monash,2016.0,"153,720",Chadstone,3148,895000.0
260,24970,Monash,2016.0,"153,720",Clayton,3168,890000.0
261,24970,Monash,2016.0,"153,720",Hughesdale,3166,1100000.0
262,24970,Monash,2016.0,"153,720",Huntingdale,3166,846000.0
263,24970,Monash,2016.0,"153,720",Mount Waverley,3149,1220000.0
264,24970,Monash,2016.0,"153,720",Mulgrave,3170,758000.0
265,24970,Monash,2016.0,"153,720",Notting Hill,3168,831000.0
266,24970,Monash,2016.0,"153,720",Oakleigh,3166,970000.0
267,24970,Monash,2016.0,"153,720",Oakleigh East,3166,859000.0
268,24970,Monash,2016.0,"153,720",Wheelers Hill,3150,1000000.0
269,25060,Moonee Valley,2016.0,"97,118",Aberfeldie,3040,1295000.0
270,25060,Moonee Valley,2016.0,"97,118",Airport West,3042,650000.0
271,25060,Moonee Valley,2016.0,"97,118",Ascot Vale,3032,905000.0
272,25060,Moonee Valley,2016.0,"97,118",Avondale Heights,3034,676000.0
273,25060,Moonee Valley,2016.0,"97,118",Essendon,3040,955000.0
274,25060,Moonee Valley,2016.0,"97,118",Essendon North,3041,688000.0
275,25060,Moonee Valley,2016.0,"97,118",Essendon West,3040,925000.0
