,Local Government Area,Suburb Name,ID,Postcode,2016 Median Sold Price
370,Knox,Bayswater,3337,3153,620000
371,Knox,Boronia,5327,3155,580000
372,Knox,Ferntree Gully,14407,3156,605000
373,Knox,Knoxfield,21867,3180,691000
374,Knox,Lysterfield,24607,3156,831000
375,Knox,Rowville,35057,3178,734000
376,Knox,Sassafras,35697,3787,647000
377,Knox,Scoresby,35767,3179,677000
378,Knox,The Basin,39797,3154,550000
379,Knox,Upper Ferntree Gully,41327,3156,565000
380,Knox,Wantirna,42327,3152,788000
381,Knox,Wantirna South,42337,3152,850000
382,Maroondah,Bayswater North,3387,3153,560000
383,Maroondah,Croydon,10867,3136,615000
384,Maroondah,Croydon Hills,10877,3136,710000
385,Maroondah,Croydon North,10887,3136,700000
386,Maroondah,Croydon South,10897,3136,600000
387,Maroondah,Heathmont,18347,3135,760000
388,Maroondah,Kilsyth,21497,3137,555000
389,Maroondah,Kilsyth South,21527,3137,695000
390,Maroondah,Park Orchards,32077,3114,1360000
391,Maroondah,Ringwood,34397,3134,781000
392,Maroondah,Ringwood East,34437,3135,750000
393,Maroondah,Ringwood North,34477,3134,790000
394,Maroondah,Vermont,41507,3133,857000
395,Maroondah,Warranwood,42627,3134,835000
396,Maroondah,Wonga Park,44437,3115,930000
397,Melton,Brookfield,6207,3338,350000
398,Melton,Burnside,7137,3023,430000
399,Melton,Burnside Heights,48297,3023,488000
400,Melton,Caroline Springs,8327,3023,498000
401,Melton,Diggers Rest,11897,3427,367000
403,Melton,Eynesbury,14157,3338,416000
404,Melton,Hillside,18837,3037,488000
405,Melton,Kurunjang,22327,3337,305000
406,Melton,Melton,25957,3337,272000
407,Melton,Melton South,25997,3338,269000
408,Melton,Melton West,26007,3337,310000
412,Melton,Ravenhall,33817,3023,446000
413,Melton,Rockbank,34697,3335,341000
414,Melton,Taylors Hill,39447,3037,550000
416,Melton,Truganina,40897,3029,400000
482,Whittlesea,Beveridge,4387,3753,430000
483,Whittlesea,Bundoora,6877,3083,626000
485,Whittlesea,Doreen,12307,3754,475000
486,Whittlesea,Eden Park,13387,3757,714000
487,Whittlesea,Epping,13867,3076,428000
489,Whittlesea,Kinglake West,21617,3757,460000
490,Whittlesea,Lalor,22937,3075,460000
491,Whittlesea,Mernda,26237,3754,424000
492,Whittlesea,Mill Park,26637,3082,500000
493,Whittlesea,Morang South,36827,3752,475000
494,Whittlesea,Thomastown,39897,3074,446000
495,Whittlesea,Whittlesea,43777,3757,424000
496,Whittlesea,Wollert,44357,3750,443000
500,Wyndham,Eynesbury,14157,3338,416000
501,Wyndham,Hoppers Crossing,19067,3029,380000
502,Wyndham,Laverton,23307,3028,410000
504,Wyndham,Little River,24027,3211,700000
507,Wyndham,Point Cook,32927,3030,480000
509,Wyndham,Tarneit,39087,3029,410000
510,Wyndham,Truganina,40897,3029,400000
511,Wyndham,Werribee,43317,3030,358000
512,Wyndham,Werribee South,43337,3030,619000
513,Wyndham,Williams Landing,48227,3027,510000
514,Wyndham,Wyndham Vale,45307,3024,345000
250,Cardinia,Avonsleigh,1977,3782,585000
252,Cardinia,Beaconsfield,3417,3807,585000
253,Cardinia,Beaconsfield Upper,3457,3808,740000
254,Cardinia,Bunyip,7037,3815,445000
260,Cardinia,Cockatoo,9777,3781,470000
264,Cardinia,Emerald,13747,3782,580000
265,Cardinia,Garfield,15257,3814,404000
267,Cardinia,Gembrook,15477,3783,589000
271,Cardinia,Koo Wee Rup,21947,3981,350000
273,Cardinia,Lang Lang,23027,3984,320000
275,Cardinia,Longwarry,24327,3816,314000
276,Cardinia,Maryknoll,25507,3812,499000
277,Cardinia,Menzies Creek,26107,3159,615000
282,Cardinia,Nar Nar Goon,29827,3812,550000
283,Cardinia,Nar Nar Goon North,29837,3812,659000
284,Cardinia,Nyora,31467,3987,380000
285,Cardinia,Officer,31647,3809,430000
287,Cardinia,Pakenham,31947,3810,399000
289,Cardinia,Pakenham Upper,31977,3810,758000
291,Cardinia,Tenby Point,39657,3984,265000
293,Cardinia,Tooradin,40437,3980,485000
294,Cardinia,Tynong,41107,3813,415000
418,Mornington Peninsula,Balnarring,2507,3926,650000
419,Mornington Peninsula,Balnarring Beach,2517,3926,950000
420,Mornington Peninsula,Baxter,3267,3911,403000
421,Mornington Peninsula,Bittern,4567,3918,450000
422,Mornington Peninsula,Blairgowrie,4717,3942,750000
424,Mornington Peninsula,Cape Schanck,7987,3939,725000
425,Mornington Peninsula,Crib Point,10797,3919,350000
426,Mornington Peninsula,Dromana,12437,3936,590000
427,Mornington Peninsula,Fingal,14477,3939,875000
428,Mornington Peninsula,Flinders,14637,3929,1350000
429,Mornington Peninsula,Hastings,17967,3915,375000
431,Mornington Peninsula,Main Ridge,24937,3928,1908000
432,Mornington Peninsula,McCrae,25587,3938,628000
434,Mornington Peninsula,Merricks Beach,26297,3926,750000
437,Mornington Peninsula,Mornington,27897,3931,661000
438,Mornington Peninsula,Mount Eliza,28217,3930,875000
439,Mornington Peninsula,Mount Martha,28317,3934,770000
440,Mornington Peninsula,Pearcedale,32327,3912,495000
442,Mornington Peninsula,Portsea,33327,3944,1853000
443,Mornington Peninsula,Red Hill,33927,3937,883000
444,Mornington Peninsula,Red Hill South,33937,3937,1158000
445,Mornington Peninsula,Rosebud,34867,3939,435000
446,Mornington Peninsula,Rye,35247,3941,522000
447,Mornington Peninsula,Safety Beach,35287,3936,615000
448,Mornington Peninsula,Shoreham,36367,3916,1300000
449,Mornington Peninsula,Somers,36657,3927,740000
450,Mornington Peninsula,Somerville,36677,3912,450000
451,Mornington Peninsula,Sorrento,36697,3943,980000
452,Mornington Peninsula,St Andrews Beach,37287,3941,680000
453,Mornington Peninsula,Tootgarook,40487,3941,445000
455,Mornington Peninsula,Tyabb,41047,3913,425000
458,Nillumbik,Briar Hill,5807,3088,665000
461,Nillumbik,Diamond Creek,11867,3089,610000
462,Nillumbik,Doreen,12307,3754,475000
463,Nillumbik,Eltham,13677,3095,765000
464,Nillumbik,Eltham North,13687,3095,803000
465,Nillumbik,Greensborough,17297,3088,650000
466,Nillumbik,Hurstbridge,19387,3099,561000
467,Nillumbik,Kangaroo Ground,20467,3097,1298000
468,Nillumbik,Kinglake,21587,3763,413000
470,Nillumbik,Kinglake West,21617,3757,460000
472,Nillumbik,Panton Hill,32007,3759,833000
473,Nillumbik,Plenty,32887,3090,978000
474,Nillumbik,Research,34117,3095,940000
476,Nillumbik,St Andrews,37267,3761,703000
478,Nillumbik,Warrandyte North,31077,3113,763000
480,Nillumbik,Wattle Glen,42957,3096,600000
515,Yarra Ranges,Badger Creek,2077,3777,420000
517,Yarra Ranges,Belgrave,3617,3160,515000
518,Yarra Ranges,Belgrave Heights,3627,3160,600000
519,Yarra Ranges,Belgrave South,3637,3160,680000
522,Yarra Ranges,Chirnside Park,9137,3116,590000
525,Yarra Ranges,Coldstream,9947,3770,502000
527,Yarra Ranges,Don Valley,12147,3139,456000
528,Yarra Ranges,Emerald,13747,3782,580000
530,Yarra Ranges,Ferny Creek,14457,3786,660000
533,Yarra Ranges,Gruyere,17437,3770,846000
534,Yarra Ranges,Healesville,18247,3777,485000
536,Yarra Ranges,Kallista,20337,3791,597000
537,Yarra Ranges,Kalorama,20347,3766,550000
538,Yarra Ranges,Kilsyth,21497,3137,555000
539,Yarra Ranges,Launching Place,23247,3139,449000
540,Yarra Ranges,Lilydale,23747,3140,560000
541,Yarra Ranges,Lysterfield,24607,3156,831000
545,Yarra Ranges,Menzies Creek,26107,3159,615000
546,Yarra Ranges,Millgrove,26667,3799,297000
547,Yarra Ranges,Monbulk,27267,3793,550000
548,Yarra Ranges,Montrose,27397,3765,610000
549,Yarra Ranges,Mooroolbark,27707,3138,567000
550,Yarra Ranges,Mount Dandenong,28157,3767,575000
551,Yarra Ranges,Mount Evelyn,28237,3796,533000
554,Yarra Ranges,Olinda,31667,3788,650000
557,Yarra Ranges,Sassafras,35697,3787,647000
558,Yarra Ranges,Selby,36027,3159,500000
559,Yarra Ranges,Seville,36087,3139,478000
560,Yarra Ranges,Seville East,36097,3139,437000
561,Yarra Ranges,Sherbrooke,36347,3789,678000
562,Yarra Ranges,Silvan,36387,3795,760000
565,Yarra Ranges,Tecoma,39517,3160,550000
566,Yarra Ranges,The Patch,39857,3792,605000
571,Yarra Ranges,Upper Ferntree Gully,41327,3156,565000
572,Yarra Ranges,Upwey,41407,3158,550000
574,Yarra Ranges,Wandin North,42107,3139,495000
575,Yarra Ranges,Warburton,42407,3799,335000
576,Yarra Ranges,Warburton East,13167,3799,360000
577,Yarra Ranges,Wesburn,43357,3799,440000
578,Yarra Ranges,Woori Yallock,44987,3139,375000
579,Yarra Ranges,Yarra Glen,45657,3775,550000
580,Yarra Ranges,Yarra Junction,45677,3797,422000
