,Local Government Area,Suburb Name,ID,Postcode,2016 Median Sold Price
423,Nillumbik,Diamond Creek,11867,3089,610000.0
424,Nillumbik,Doreen,12307,3754,475000.0
425,Nillumbik,Hurstbridge,19387,3099,561000.0
426,Nillumbik,Kangaroo Ground,20467,3097,1298000.0
427,Nillumbik,Kinglake,21587,3763,413000.0
429,Nillumbik,Kinglake West,21617,3757,460000.0
431,Nillumbik,Panton Hill,32007,3759,833000.0
432,Nillumbik,Plenty,32887,3090,978000.0
433,Nillumbik,Research,34117,3095,940000.0
435,Nillumbik,St Andrews,37267,3761,703000.0
437,Nillumbik,Warrandyte North,31077,3113,763000.0
439,Nillumbik,Wattle Glen,42957,3096,600000.0
441,Nillumbik,Yarrambat,45747,3091,1070000.0
467,Yarra Ranges,Badger Creek,2077,3777,420000.0
469,Yarra Ranges,Belgrave,3617,3160,515000.0
470,Yarra Ranges,Belgrave Heights,3627,3160,600000.0
471,Yarra Ranges,Belgrave South,3637,3160,680000.0
474,Yarra Ranges,Chirnside Park,9137,3116,590000.0
476,Yarra Ranges,Coldstream,9947,3770,502000.0
478,Yarra Ranges,Don Valley,12147,3139,456000.0
480,Yarra Ranges,Ferny Creek,14457,3786,660000.0
483,Yarra Ranges,Gruyere,17437,3770,846000.0
484,Yarra Ranges,Healesville,18247,3777,485000.0
486,Yarra Ranges,Kallista,20337,3791,597000.0
487,Yarra Ranges,Kalorama,20347,3766,550000.0
488,Yarra Ranges,Launching Place,23247,3139,449000.0
489,Yarra Ranges,Lilydale,23747,3140,560000.0
493,Yarra Ranges,Millgrove,26667,3799,297000.0
494,Yarra Ranges,Monbulk,27267,3793,550000.0
495,Yarra Ranges,Montrose,27397,3765,610000.0
496,Yarra Ranges,Mooroolbark,27707,3138,567000.0
497,Yarra Ranges,Mount Dandenong,28157,3767,575000.0
498,Yarra Ranges,Mount Evelyn,28237,3796,533000.0
501,Yarra Ranges,Olinda,31667,3788,650000.0
504,Yarra Ranges,Selby,36027,3159,500000.0
505,Yarra Ranges,Seville,36087,3139,478000.0
506,Yarra Ranges,Seville East,36097,3139,437000.0
507,Yarra Ranges,Sherbrooke,36347,3789,678000.0
508,Yarra Ranges,Silvan,36387,3795,760000.0
511,Yarra Ranges,Tecoma,39517,3160,550000.0
512,Yarra Ranges,The Patch,39857,3792,605000.0
517,Yarra Ranges,Upwey,41407,3158,550000.0
519,Yarra Ranges,Wandin North,42107,3139,495000.0
520,Yarra Ranges,Warburton,42407,3799,335000.0
521,Yarra Ranges,Warburton East,13167,3799,360000.0
522,Yarra Ranges,Wesburn,43357,3799,440000.0
523,Yarra Ranges,Woori Yallock,44987,3139,375000.0
524,Yarra Ranges,Yarra Glen,45657,3775,550000.0
525,Yarra Ranges,Yarra Junction,45677,3797,422000.0
